Country/Territory,Latitude,Longitude,Administrative division level 2,Species 1,Susceptible 1,Cases 1,Dead 1,Killed 1,Slaughtered 1,Confirmation date
Greece,39.731,22.409,Thessaly,Sheep/goats (mixed herd),380.0,,,,,2024-09-16
Greece,39.777,22.563,Thessaly,Sheep/goats (mixed herd),850.0,,,,,2024-09-12
Greece,39.774,22.561,Thessaly,Sheep/goats (mixed herd),1000.0,,,,,2024-09-12
Greece,37.901,22.334,Peloponnese,Sheep/goats (mixed herd),246.0,12.0,,,,2024-09-11
Greece,37.912,22.33,Peloponnese,Sheep,100.0,5.0,,,,2024-09-11
Greece,37.855,21.235,West Greece,Sheep,150.0,,,,,2024-09-09
Greece,37.91,22.332,Peloponnese,Sheep/goats (mixed herd),77.0,,,,,2024-09-05
Greece,37.905,22.318,Peloponnese,Sheep/goats (mixed herd),301.0,,,,,2024-09-05
Greece,39.745,22.454,Thessaly,Sheep/goats (mixed herd),1700.0,250.0,,,,2024-09-04
Greece,38.595,21.375,West Greece,Sheep/goats (mixed herd),162.0,8.0,,,,2024-09-03
Romania,45.281,21.473,Jamu Mare,Sheep,171.0,1.0,0.0,0.0,0.0,2024-09-02
Romania,45.281,21.465,Jamu Mare,Sheep/goats (mixed herd),332.0,332.0,1.0,331.0,0.0,2024-08-30
Romania,45.282,21.472,Jamu Mare,Sheep,501.0,501.0,5.0,496.0,0.0,2024-08-30
Greece,39.723,22.54,Thessaly,Sheep,300.0,,,,,2024-08-30
Greece,39.742,22.541,Thessaly,Sheep,290.0,,,,,2024-08-30
Romania,45.28,21.475,Jamu Mare,Sheep,223.0,223.0,7.0,216.0,0.0,2024-08-29
Romania,45.281,21.461,Jamu Mare,Sheep,110.0,0.0,0.0,0.0,0.0,2024-08-29
Türkiye,38.0,34.29,Altunhisar,Goats,,1.0,1.0,,,2024-07-22
Türkiye,39.02,28.24,Gördes,Sheep,277.0,7.0,2.0,,,2024-07-11
Türkiye,38.28,27.4,Torbalı,Sheep,,1.0,,,,2024-07-26
Türkiye,37.65,27.95,Çine,Sheep,,2.0,,,,2024-07-23
Türkiye,38.01,28.08,Köşk,Sheep,440.0,4.0,2.0,,,2024-07-12
Greece,38.595,21.377,West Greece,Sheep,270.0,,,,,2024-08-28
Greece,37.909,22.327,Peloponnese,Sheep,24.0,,,,,2024-08-27
Greece,41.142,25.307,East Macedonia and Thrace,Sheep,40.0,,,,,2024-08-27
Greece,37.907,22.331,Peloponnese,Sheep,180.0,,,,,2024-08-27
Greece,37.9,22.325,Peloponnese,Sheep,140.0,,,,,2024-08-27
Greece,37.907,22.336,Peloponnese,Sheep,160.0,,,,,2024-08-27
Romania,44.798,28.507,Stejaru,Sheep,538.0,538.0,8.0,530.0,0.0,2024-08-27
Romania,45.281,21.474,Jamu Mare,Sheep,623.0,623.0,26.0,597.0,0.0,2024-08-24
Greece,37.854,21.232,West Greece,Goats,6.0,1.0,,,,2024-08-21
Greece,37.914,22.329,Peloponnese,Sheep,123.0,10.0,,,,2024-08-20
Greece,39.744,22.459,Thessaly,Sheep,3206.0,1900.0,,,,2024-08-13
Romania,44.205,28.195,Pestera,Goats,50.0,50.0,7.0,43.0,0.0,2024-08-14
